requirement_id,description
TASK-1,"cocoOS shall trigger os_assert when `os_task_create` is called with a null task procedure, a duplicate priority, or when the number of tasks would exceed N_TASKS."
TASK-2,cocoOS shall trigger os_assert when `os_task_create` is called while the OS is running.
TASK-3,"cocoOS shall provide a function `os_task_create` which adds the new task to the task list, sets its initial state to READY, and returns the newly assigned task ID."
TASK-4,cocoOS shall provide a function `os_task_create` which allocates a message queue for the task when a message pool is provided.
TASK-5,cocoOS shall provide a function `os_task_create` which clears the event wait queue of the newly created task.
TASK-6,cocoOS shall provide a function `os_task_init` which clears and re-initializes the task list.
TASK-7,cocoOS shall provide a function `os_task_kill` which sets the specified task's state to KILLED.
TASK-8,cocoOS shall provide a function `task_get_data` which returns a pointer to the data associated with the currently running task.
TASK-9,cocoOS shall provide a function `highest_prio_ready_task` which returns the ID of the READY task with the lowest priority number (highest priority) when priority-based scheduling is used.
TASK-10,cocoOS shall provide a function `next_ready_task` which returns the ID of the next READY task in creation order when round-robin scheduling is used.
TASK-11,"cocoOS shall provide a function `os_task_release_waiting_task` which finds the highest-priority task waiting for the specified semaphore and puts it into the READY state."
TASK-12,"cocoOS shall provide a function `os_task_waiting_this_semaphore` which returns the task ID of the task waiting for the specified semaphore, or -1 if no task is waiting."
TASK-13,"cocoOS shall provide a function `os_task_wait_sem_set` which sets the specified task to the WAITING_SEM state, assigns the specified semaphore, and resets the task's wait time to zero."
TASK-14,cocoOS shall provide a function `task_ready_set` which sets the specified task to the READY state.
TASK-15,"cocoOS shall provide a function `os_task_suspend` which sets the specified task to the SUSPENDED state if it is neither KILLED nor already SUSPENDED; if the task was in WAITING_SEM state its saved state is set to READY and internal state to 0, otherwise its saved state is set to the current state."
TASK-16,cocoOS shall provide a function `os_task_resume` which sets the specified task to its previously saved state if and only if the task is currently SUSPENDED.
TASK-18,cocoOS shall provide a function `os_task_prio_get` which returns the priority of the specified task.
TASK-19,cocoOS shall provide a function `os_task_clear_wait_queue` which clears the event wait queue of the specified task.
TASK-20,"cocoOS shall provide a function `os_task_wait_time_set` which assigns the specified clock ID and timeout to the specified task and puts it into the WAITING_TIME state."
TASK-21,"cocoOS shall provide a function `os_task_wait_event` which sets the specified task to the WAITING_EVENT_TIMEOUT state if the provided timeout is non-zero (timed off the master clock) and to the WAITING_EVENT state if the timeout is zero."
TASK-22,cocoOS shall provide a function `task_tick` which increments the wait time of all tasks in the WAITING_SEM state.
TASK-23,"cocoOS shall provide a function `os_task_signal_event` which, for each task waiting for the specified event, marks the event as no longer pending for that task and puts the task into the READY state if its event wait queue is empty or if it was configured to wake on a single event."
TASK-24,"cocoOS shall provide a function `task_tick` which, for each task in the WAITING_EVENT_TIMEOUT state whose timer for the specified clock has expired, shall clear the task's event wait queue and set the task to the READY state."
TASK-25,"cocoOS shall provide a function `task_tick` which, for each task that has an associated message queue, shall call `os_msgQ_tick` on every master clock (clockId 0) tick."
TASK-26,cocoOS shall provide `os_task_set_wait_queue` and `os_task_get_wait_queue` accessors that store and retrieve the message queue a task is waiting on independently per task.
TASK-27,cocoOS shall provide `os_task_set_change_event` and `os_task_get_change_event` accessors that store and retrieve the change event associated with a task's pending message queue operation independently per task.
TASK-28,cocoOS shall provide `os_task_set_msg_result` and `os_task_get_msg_result` accessors that store and retrieve the result of a task's last message queue operation independently per task.
TASK-29,`os_task_ready_set` shall unconditionally put the specified task into the READY state.
TASK-30,`os_task_internal_state_set` shall store the coroutine re-entry label for the specified task such that `task_internal_state_get` returns the same value.
TASK-31,`task_run` shall invoke the task procedure of the task identified by the current running task ID.
KERNEL-1,cocoOS shall provide a `task_wait()` macro which suspends the current task and resumes its execution after the specified number of ticks.
KERNEL-2,cocoOS shall ensure that tasks implementing an infinite loop execute continuously and that tasks without an infinite loop execute their body once and stop.
KERNEL-3,cocoOS shall provide an os_tick() function which decrements the time waiting for any task in a wait state
KERNEL-4,cocoOS shall keep internal track of the task ID which is currently being executed (including no task) and which can be queried but not directly manipulated
KERNEL-5,cocoOS shall keep internal track of whether the OS has been instructed to start execution and can be queried
KERNEL-6,cocoOS shall provide a function `os_sub_nTick` to increment the time base for tasks which are not timed off the main clock with clockId 0 by the specified number of ticks
KERNEL-7,"cocoOS shall provide an `os_init` function which resets the running flag and running task ID to their initial values, and initializes all OS subsystems by calling `os_sem_init`, `os_event_init`, `os_msgQ_init`, and `os_task_init`."
KERNEL-8,"cocoOS shall provide an `os_start` function which sets the running flag and begins scheduling tasks in a loop; if the tick limit argument is non-zero the loop shall exit after that many scheduling cycles, otherwise it shall run indefinitely."
KERNEL-9,"cocoOS shall provide an `os_start_locking` function with the same scheduling behavior as `os_start` except that each scheduling cycle shall be wrapped by the caller-provided lock and unlock functions."
KERNEL-10,"when ROUND_ROBIN is not enabled, the scheduler shall select the highest-priority ready task for execution on each scheduling cycle."
KERNEL-11,"when ROUND_ROBIN is enabled, the scheduler shall select the next ready task in round-robin order for execution on each scheduling cycle."
KERNEL-12,cocoOS shall provide a function `os_get_running_tid` which returns the task ID of the currently executing task or NO_TID when no task is executing.
KERNEL-13,cocoOS shall provide a function `os_free_tid` which clears the currently executing task ID to NO_TID.
KERNEL-14,"when no task is ready to run, the scheduler shall invoke `os_cbkSleep`."
KERNEL-15,"cocoOS shall provide a function `os_sub_tick` which increments the time base for tasks timed off the specified sub-clock by exactly 1 tick; clock ID 0 (master clock) shall be ignored."
MSGQUEUE-1,"cocoOS shall provide a function `os_msgQ_init` which resets all message queue state, including list pointer, head, tail, size, messageSize, taskId, and change event, to their initial values."
MSGQUEUE-2,"cocoOS shall provide a function `os_msgQ_create` which allocates a new message queue with the provided buffer, number of messages, message size, and owning task ID, and returns a unique queue ID starting from 0."
MSGQUEUE-3,`os_msgQ_create` shall trigger os_assert and return 1 if the maximum number of queues defined by N_QUEUES has already been created.
MSGQUEUE-4,`os_msgQ_create` shall create an associated change event for the queue by calling `event_create`.
MSGQUEUE-5,"cocoOS shall provide a function `os_msgQ_find` which returns the queue ID belonging to the specified task ID, or NO_QUEUE if no queue exists for that task."
MSGQUEUE-6,"cocoOS shall provide a function `os_msgQ_event_get` which returns the change event associated with the specified queue, or NO_EVENT if the queue ID is invalid."
MSGQUEUE-7,`os_msg_post` shall copy the message into the queue and set its delay and reload (period) fields before enqueuing and shall return MSG_QUEUE_POSTED on success.
MSGQUEUE-8,`os_msg_post` shall return MSG_QUEUE_FULL if the queue is full and MSG_QUEUE_UNDEF if the queue ID is invalid or the queue has zero capacity.
MSGQUEUE-9,`os_msg_receive` shall retrieve the next non-delayed message from the specified queue and return MSG_QUEUE_RECEIVED on success.
MSGQUEUE-10,`os_msg_receive` shall return MSG_QUEUE_EMPTY if the queue contains no messages or if all pending messages have a non-zero delay.
MSGQUEUE-11,`os_msg_receive` shall deliver the first message whose delay has reached zero even when earlier messages in the queue have a non-zero delay.
MSGQUEUE-12,"`os_msg_receive` shall re-enqueue a delivered periodic message (reload > 0) with its delay reset to the reload value, so that it is delivered again after the next period."
MSGQUEUE-13,"cocoOS shall provide a function `os_msgQ_tick` which decrements the delay field of each pending message in the specified queue by one tick and, when a message delay reaches zero, signals the queue change event."
MSGQUEUE-14,`os_msg_receive` shall return MSG_QUEUE_UNDEF if the specified queue ID is greater than or equal to the number of created queues.
MSGQUEUE-15,"The `Msg_t` structure shall contain at minimum a signal byte identifying the message type, a delay field specifying the number of ticks before the message becomes deliverable, and a reload field specifying the period for periodic messages."
EVENT-1,cocoOS shall provide a function called `event_create` which creates an event and returns its ID
EVENT-2,No more events can be created than which are defined by the N_TOTAL_EVENTS pre-processor directive
EVENT-3,cocoOS shall provide a function `event_signaling_taskId_get` which returns the ID of the task that signaled the specified event
EVENT-4,cocoOS shall provide a function `event_last_signaled_get` which returns the ID of the last event that was signaled
EVENT-5,"cocoOS shall provide a function `os_wait_event` which resets the signaling task ID of the specified event to NO_TID, puts the specified task into the WAITING_EVENT_TIMEOUT state if the timeout is non-zero (timed off the master clock) or the WAITING_EVENT state if the timeout is zero, and executes the provided callback (if any) before returning."
EVENT-6,cocoOS shall provide a function `os_wait_multiple` which signals the currently scheduled task to wait for either any of a collection of multiple events or for all multiple events.
EVENT-7,cocoOS shall provide a function `os_signal_event` which sets the last signaled signal event to the specified event and calls `os_task_signal_event`
EVENT-8,cocoOS shall provide a function `os_event_set_signaling_tid` which records that the specified event to have been signaled by the specified task id
EVENT-9,"If the last argument of `os_wait_multiple` is not NO_EVENT, an os_assert will be invoked"
SEM-1,"cocoOS shall provide a function called `sem_bin_create` which creates a semaphore which can only have the value of true or false, and whose initial value is the provided initial value, and returns the id of the created semaphore."
SEM-2,"cocoOS shall provide a function called `sem_counting_create` which creates a semaphore which can have any 16-bit integer value, and whose initial value is the provided initial value, and returns the id of the created semaphore."
SEM-3,cocoOS shall provide a function called `os_sem_increment` which increments the value of the specified semaphore by 1
SEM-4,cocoOS shall provide a function called `os_sem_decrement` which decrements the value of the specified semaphore by 1
SEM-5,cocoOS shall provide a function `os_sem_larger_than_zero` which determines if the specified semaphore has a value which is larger than zero
SEM-6,cocoOS shall provide a function `os_sem_value_get` which returns the value of the specified semaphore
UTILS-1,"`os_assert(cond)` shall call `os_on_assert` with `__FILE__`, `__LINE__`, and the stringized expression when `cond` is false, and shall be a no-op when `cond` is true."
UTILS-2,"When a callback is attached via `os_on_assert_attach_callback`, `os_on_assert` shall invoke it with the file, line, and expression arguments and then return; without a callback `os_on_assert` shall not return. Attaching a new callback replaces the previous one."
UTILS-3,"`os_assert_with_return(cond, val)` shall call `os_on_assert` and return `val` from the enclosing function when `cond` is false."
